Stock,Side,Entry,StopLoss,Target,Confidence,Strategy,StrategyType,Timestamp,Notes,Action,ExitRule
HDFCBANK.NS,BUY,978.15,943.65,1047.15,0.95,market_structure_orderblock,intraday,09/10/2025 14:07:47,"{""last_peak_idx"": 373, ""last_trough_idx"": 331, ""peak_price"": 988.9, ""trough_price"": 943.65, ""zone_range"": 45.25, ""buy_threshold"": 956.0033, ""sell_threshold"": 976.5468, ""atr"": 4.900003, ""last_close"": 978.15, ""move_pct"": 0.2974}",,
RELIANCE.NS,BUY,1379.4,1359.0,1420.2001,0.96,market_structure_orderblock,intraday,09/10/2025 14:10:01,"{""last_peak_idx"": 376, ""last_trough_idx"": 359, ""peak_price"": 1393.3, ""trough_price"": 1359.0, ""zone_range"": 34.3, ""buy_threshold"": 1368.3639, ""sell_threshold"": 1383.9361, ""atr"": 6.464294, ""last_close"": 1379.4, ""move_pct"": 0.32}",,
BHARTIARTL.NS,BUY,1938.5,1862.8,2089.8999,0.86,market_structure_orderblock,intraday,09/10/2025 14:10:02,"{""last_peak_idx"": 327, ""last_trough_idx"": 351, ""peak_price"": 1945.6, ""trough_price"": 1862.8, ""zone_range"": 82.7999, ""buy_threshold"": 1885.4044, ""sell_threshold"": 1922.9956, ""atr"": 11.25715, ""last_close"": 1938.5, ""move_pct"": -0.0155}",,
SBIN.NS,SELL,858.25,875.32,824.11,0.5,closing_near_highlow_refined,daily,09/10/2025 14:10:03,,ENTER,Target/Stop or manual exit
SBIN.NS,SELL,863.0,874.1,840.8,0.95,market_structure_orderblock,intraday,09/10/2025 14:10:03,"{""last_peak_idx"": 370, ""last_trough_idx"": 356, ""peak_price"": 874.1, ""trough_price"": 863.05, ""zone_range"": 11.05, ""buy_threshold"": 866.0666, ""sell_threshold"": 871.0833, ""atr"": 4.45357, ""last_close"": 863.0, ""move_pct"": 0.3138}",,
TATAMOTORS.NS,SELL,673.3,722.3,575.3,0.89,market_structure_orderblock,intraday,09/10/2025 14:10:04,"{""last_peak_idx"": 358, ""last_trough_idx"": 344, ""peak_price"": 722.3, ""trough_price"": 669.4, ""zone_range"": 52.9, ""buy_threshold"": 683.8417, ""sell_threshold"": 707.8583, ""atr"": 5.467861, ""last_close"": 673.3, ""move_pct"": 0.119}",,
TATAMOTORS.NS,SELL,673.3,739.5,540.9,0.6,orb_trend_filter,intraday,09/10/2025 14:10:04,,,
TATASTEEL.NS,BUY,175.71,169.94,187.25,0.89,market_structure_orderblock,intraday,09/10/2025 14:10:05,"{""last_peak_idx"": 359, ""last_trough_idx"": 368, ""peak_price"": 174.13, ""trough_price"": 169.94, ""zone_range"": 4.19, ""buy_threshold"": 171.0839, ""sell_threshold"": 172.9861, ""atr"": 1.673572, ""last_close"": 175.71, ""move_pct"": 0.1311}",,
INFY.NS,BUY,1495.0,1453.36,1578.28,0.61,closing_near_highlow_refined,daily,09/10/2025 14:10:05,,ENTER,Target/Stop or manual exit
INFY.NS,BUY,1502.1,1454.8,1596.6998,0.91,market_structure_orderblock,intraday,09/10/2025 14:10:05,"{""last_peak_idx"": 301, ""last_trough_idx"": 377, ""peak_price"": 1544.0, ""trough_price"": 1454.8, ""zone_range"": 89.2, ""buy_threshold"": 1479.1516, ""sell_threshold"": 1519.6484, ""atr"": 11.657174, ""last_close"": 1502.1, ""move_pct"": -0.1794}",,
ICICIBANK.NS,BUY,1377.2,1363.4,1404.7998,0.93,market_structure_orderblock,intraday,09/10/2025 14:10:06,"{""last_peak_idx"": 371, ""last_trough_idx"": 361, ""peak_price"": 1380.9, ""trough_price"": 1363.4, ""zone_range"": 17.5, ""buy_threshold"": 1368.1775, ""sell_threshold"": 1376.1225, ""atr"": 6.185713, ""last_close"": 1377.2, ""move_pct"": 0.2402}",,
HDFCBANK.NS,BUY,978.05,943.65,1046.8499,0.95,market_structure_orderblock,intraday,09/10/2025 14:10:07,"{""last_peak_idx"": 373, ""last_trough_idx"": 331, ""peak_price"": 988.9, ""trough_price"": 943.65, ""zone_range"": 45.25, ""buy_threshold"": 956.0033, ""sell_threshold"": 976.5468, ""atr"": 4.910714, ""last_close"": 978.05, ""move_pct"": 0.2871}",,
TITAN.NS,BUY,3545.6001,3411.1001,3814.6001,0.87,market_structure_orderblock,intraday,09/10/2025 14:10:08,"{""last_peak_idx"": 362, ""last_trough_idx"": 376, ""peak_price"": 3453.3, ""trough_price"": 3411.1001, ""zone_range"": 42.2, ""buy_threshold"": 3422.6207, ""sell_threshold"": 3441.7795, ""atr"": 29.085658, ""last_close"": 3545.6001, ""move_pct"": 0.0593}",,
LT.NS,BUY,3773.8,3626.0,4069.4001,0.99,market_structure_orderblock,intraday,09/10/2025 14:10:09,"{""last_peak_idx"": 330, ""last_trough_idx"": 350, ""peak_price"": 3789.8, ""trough_price"": 3626.0, ""zone_range"": 163.8, ""buy_threshold"": 3670.7174, ""sell_threshold"": 3745.0826, ""atr"": 22.521432, ""last_close"": 3773.8, ""move_pct"": 0.4151}",,
LT.NS,BUY,3773.8,3672.2,3977.0,0.77,orb_trend_filter,intraday,09/10/2025 14:10:09,,,
SUNPHARMA.NS,SELL,1631.6,1674.14,1546.52,0.46,closing_near_highlow_refined,daily,09/10/2025 14:10:10,,ENTER,Target/Stop or manual exit
SUNPHARMA.NS,BUY,1655.0,1580.0,1805.0,0.88,market_structure_orderblock,intraday,09/10/2025 14:10:10,"{""last_peak_idx"": 374, ""last_trough_idx"": 332, ""peak_price"": 1659.0, ""trough_price"": 1580.0, ""zone_range"": 79.0, ""buy_threshold"": 1601.567, ""sell_threshold"": 1637.433, ""atr"": 9.657113, ""last_close"": 1655.0, ""move_pct"": 0.0968}",,
KOTAKBANK.NS,BUY,2147.8999,1972.3,2499.0996,0.88,market_structure_orderblock,intraday,09/10/2025 14:10:11,"{""last_peak_idx"": 364, ""last_trough_idx"": 335, ""peak_price"": 2149.0, ""trough_price"": 1972.3, ""zone_range"": 176.7, ""buy_threshold"": 2020.5391, ""sell_threshold"": 2100.7609, ""atr"": 12.207084, ""last_close"": 2147.8999, ""move_pct"": 0.0932}",,
